88,0.017941,-48.809876,5.710,Phe,G
107,0.022255,-50.337373,5.530,Phe,M
122,0.026616,-77.065724,4.780,Oct,K
124,0.026949,61.222801,5.580,Cas,F
145,0.030402,-3.027504,5.130,Psc,B
154,0.032672,-6.014072,4.370,Psc,M
171,0.036139,27.082256,5.800,Peg,G
183,0.038867,-29.720414,5.040,Scl,B
194,0.041584,8.485463,5.700,Psc,F
207,0.043357,66.098966,5.870,Cas,G
301,0.062330,-17.335988,4.550,Cet,B
330,0.070462,62.287664,5.900,Cas,A
343,0.072165,-16.529036,5.780,Cet,K
355,0.075033,-10.509523,4.990,Cet,K
377,0.078131,-71.436891,5.590,Tuc,B
379,0.078304,67.166445,5.680,Cep,K
418,0.085039,61.313970,5.800,Cas,B
443,0.088928,-5.707618,4.610,Psc,K
476,0.094989,13.396266,5.550,Peg,G
518,0.104356,58.436733,5.980,Cas,G
522,0.105277,-49.075191,5.700,Phe,G
531,0.107370,64.196168,5.570,Cas,B
636,0.129693,-22.508560,5.930,Cet,A
655,0.134303,-33.529326,5.670,Scl,K
671,0.138204,-8.824112,5.990,Cet,G
729,0.150672,18.211963,5.570,Peg,G
761,0.155851,-27.987928,5.420,Scl,F
813,0.167278,11.145813,5.540,Psc,B
814,0.167293,-82.224047,5.290,Oct,K
840,0.171908,-5.248588,5.840,Psc,K
841,0.172012,46.072272,5.010,And,F
873,0.178565,-12.579897,5.840,Cet,K
910,0.187739,-15.467977,4.890,Cet,F
930,0.192894,-27.799737,5.410,Scl,K
950,0.195552,-35.133119,5.240,Scl,F
983,0.202773,-17.938278,5.290,Cet,K
1074,0.222099,-84.993978,5.780,Oct,M
1086,0.225240,41.035370,5.710,And,F
1096,0.228401,-26.022345,5.940,Scl,K
1158,0.241008,-7.780532,5.130,Cet,M
1168,0.243378,20.206702,4.790,Peg,M
1170,0.244005,-18.932866,4.440,Cet,M
1191,0.248476,-9.569571,5.770,Cet,B
1288,0.269126,-31.446394,5.660,Scl,K
1354,0.282513,61.533185,5.740,Cas,G
1366,0.284863,38.681636,4.610,And,A
